Sample	Cohort	Fragment Name	Intensity	Metabolite Name
Experimental Sample (S121)	C.  G9 13C-Gln 15min	Glutamate 150/42	2014.6	Glutamate
Experimental Sample (S121)	C.  G9 13C-Gln 15min	Glutamate 150/43	1092	Glutamate
Experimental Sample (S121)	C.  G9 13C-Gln 15min	Glutamate 151/43	1178	Glutamate
Experimental Sample (S122)	D.  G9 13C-Gln 30min	Citrate 191/111	490335.8	Citrate
Experimental Sample (S122)	D.  G9 13C-Gln 30min	Citrate 192/111	22458.4	Citrate
Experimental Sample (S122)	D.  G9 13C-Gln 30min	Citrate 192/112	68715.8	Citrate
Experimental Sample (S122)	D.  G9 13C-Gln 30min	Citrate 193/112	11146.4	Citrate
Experimental Sample (S122)	D.  G9 13C-Gln 30min	Citrate 193/113	13979.4	Citrate
Experimental Sample (S122)	D.  G9 13C-Gln 30min	Citrate 194/113	1700.8	Citrate
Experimental Sample (S122)	D.  G9 13C-Gln 30min	Citrate 194/114	2379.2	Citrate
Experimental Sample (S122)	D.  G9 13C-Gln 30min	Citrate 195/114	1984	Citrate
Experimental Sample (S122)	D.  G9 13C-Gln 30min	Citrate 195/115	1417	Citrate
Experimental Sample (S122)	D.  G9 13C-Gln 30min	Citrate 196/115	1254	Citrate
Experimental Sample (S122)	D.  G9 13C-Gln 30min	Citrate 196/116	1458	Citrate
Experimental Sample (S122)	D.  G9 13C-Gln 30min	Citrate 197/116	1215	Citrate
Experimental Sample (S122)	D.  G9 13C-Gln 30min	Glutamate 146/41	11393	Glutamate
Experimental Sample (S122)	D.  G9 13C-Gln 30min	Glutamate 147/41	1706.8	Glutamate
Experimental Sample (S122)	D.  G9 13C-Gln 30min	Glutamate 147/42	1887	Glutamate
Experimental Sample (S122)	D.  G9 13C-Gln 30min	Glutamate 148/41	6446.2	Glutamate
Experimental Sample (S122)	D.  G9 13C-Gln 30min	Glutamate 148/42	1213.6	Glutamate
Experimental Sample (S122)	D.  G9 13C-Gln 30min	Glutamate 148/43	2054	Glutamate
Experimental Sample (S122)	D.  G9 13C-Gln 30min	Glutamate 149/41	1973	Glutamate
Experimental Sample (S122)	D.  G9 13C-Gln 30min	Glutamate 149/42	1670.8	Glutamate
Experimental Sample (S122)	D.  G9 13C-Gln 30min	Glutamate 149/43	1203	Glutamate
Experimental Sample (S122)	D.  G9 13C-Gln 30min	Glutamate 150/42	1266	Glutamate
Experimental Sample (S122)	D.  G9 13C-Gln 30min	Glutamate 150/43	1877	Glutamate
Experimental Sample (S122)	D.  G9 13C-Gln 30min	Glutamate 151/43	1458	Glutamate
Experimental Sample (S123)	E.  G9 13C-Gln 60min	Citrate 191/111	367469.4	Citrate
Experimental Sample (S123)	E.  G9 13C-Gln 60min	Citrate 192/111	36230.8	Citrate
Experimental Sample (S123)	E.  G9 13C-Gln 60min	Citrate 192/112	114779.6	Citrate
Experimental Sample (S123)	E.  G9 13C-Gln 60min	Citrate 193/112	21816.6	Citrate
Experimental Sample (S123)	E.  G9 13C-Gln 60min	Citrate 193/113	24042.2	Citrate
Experimental Sample (S123)	E.  G9 13C-Gln 60min	Citrate 194/113	2006.8	Citrate
Experimental Sample (S123)	E.  G9 13C-Gln 60min	Citrate 194/114	3015	Citrate
Experimental Sample (S123)	E.  G9 13C-Gln 60min	Citrate 195/114	1517	Citrate
Experimental Sample (S123)	E.  G9 13C-Gln 60min	Citrate 195/115	1003	Citrate
Experimental Sample (S123)	E.  G9 13C-Gln 60min	Citrate 196/115	1093	Citrate
Experimental Sample (S123)	E.  G9 13C-Gln 60min	Citrate 196/116	1104	Citrate
Experimental Sample (S123)	E.  G9 13C-Gln 60min	Citrate 197/116	1837	Citrate
Experimental Sample (S123)	E.  G9 13C-Gln 60min	Glutamate 146/41	9064.6	Glutamate
Experimental Sample (S123)	E.  G9 13C-Gln 60min	Glutamate 147/41	1678.8	Glutamate
Experimental Sample (S123)	E.  G9 13C-Gln 60min	Glutamate 147/42	1460.8	Glutamate
Experimental Sample (S123)	E.  G9 13C-Gln 60min	Glutamate 148/41	9336.4	Glutamate
Experimental Sample (S123)	E.  G9 13C-Gln 60min	Glutamate 148/42	1939	Glutamate
Experimental Sample (S123)	E.  G9 13C-Gln 60min	Glutamate 148/43	1230.2	Glutamate
Experimental Sample (S123)	E.  G9 13C-Gln 60min	Glutamate 149/41	1042	Glutamate
Experimental Sample (S123)	E.  G9 13C-Gln 60min	Glutamate 149/42	1231	Glutamate
Experimental Sample (S123)	E.  G9 13C-Gln 60min	Glutamate 149/43	1759.6	Glutamate
Experimental Sample (S123)	E.  G9 13C-Gln 60min	Glutamate 150/42	1772	Glutamate
Experimental Sample (S123)	E.  G9 13C-Gln 60min	Glutamate 150/43	1999	Glutamate
Experimental Sample (S123)	E.  G9 13C-Gln 60min	Glutamate 151/43	1161	Glutamate
Experimental Sample (S124)	F.  G9 13C-Gln 120min	Citrate 191/111	119725.8	Citrate
Experimental Sample (S124)	F.  G9 13C-Gln 120min	Citrate 192/111	22754.6	Citrate
Experimental Sample (S124)	F.  G9 13C-Gln 120min	Citrate 192/112	51973.4	Citrate
Experimental Sample (S124)	F.  G9 13C-Gln 120min	Citrate 193/112	9740.4	Citrate
Experimental Sample (S124)	F.  G9 13C-Gln 120min	Citrate 193/113	15437	Citrate
Experimental Sample (S124)	F.  G9 13C-Gln 120min	Citrate 194/113	1734.4	Citrate
Experimental Sample (S124)	F.  G9 13C-Gln 120min	Citrate 194/114	2193.2	Citrate
Experimental Sample (S124)	F.  G9 13C-Gln 120min	Citrate 195/114	1743	Citrate
Experimental Sample (S124)	F.  G9 13C-Gln 120min	Citrate 195/115	1810	Citrate
Experimental Sample (S124)	F.  G9 13C-Gln 120min	Citrate 196/115	1143	Citrate
Experimental Sample (S124)	F.  G9 13C-Gln 120min	Citrate 196/116	1930	Citrate
Experimental Sample (S124)	F.  G9 13C-Gln 120min	Citrate 197/116	1460	Citrate
Experimental Sample (S124)	F.  G9 13C-Gln 120min	Glutamate 146/41	7009.4	Glutamate
Experimental Sample (S124)	F.  G9 13C-Gln 120min	Glutamate 147/41	2859	Glutamate
Experimental Sample (S124)	F.  G9 13C-Gln 120min	Glutamate 147/42	2284	Glutamate
Experimental Sample (S124)	F.  G9 13C-Gln 120min	Glutamate 148/41	9427.6	Glutamate
Experimental Sample (S124)	F.  G9 13C-Gln 120min	Glutamate 148/42	1391.6	Glutamate
Experimental Sample (S124)	F.  G9 13C-Gln 120min	Glutamate 148/43	1771.2	Glutamate
Experimental Sample (S124)	F.  G9 13C-Gln 120min	Glutamate 149/41	1847	Glutamate
Experimental Sample (S124)	F.  G9 13C-Gln 120min	Glutamate 149/42	1800.4	Glutamate
Experimental Sample (S124)	F.  G9 13C-Gln 120min	Glutamate 149/43	1608	Glutamate
Experimental Sample (S124)	F.  G9 13C-Gln 120min	Glutamate 150/42	1089.6	Glutamate
Experimental Sample (S124)	F.  G9 13C-Gln 120min	Glutamate 150/43	1908	Glutamate
Experimental Sample (S124)	F.  G9 13C-Gln 120min	Glutamate 151/43	1396	Glutamate
Experimental Sample (S125)	G.  G9 13C-Gln 240min	Citrate 191/111	246406.4687	Citrate
Experimental Sample (S125)	G.  G9 13C-Gln 240min	Citrate 192/111	57840.60233	Citrate
Experimental Sample (S125)	G.  G9 13C-Gln 240min	Citrate 192/112	162104.5725	Citrate
Experimental Sample (S125)	G.  G9 13C-Gln 240min	Citrate 193/112	28203	Citrate
Experimental Sample (S125)	G.  G9 13C-Gln 240min	Citrate 193/113	30240	Citrate
Experimental Sample (S125)	G.  G9 13C-Gln 240min	Citrate 194/113	3408	Citrate
Experimental Sample (S125)	G.  G9 13C-Gln 240min	Citrate 194/114	5116	Citrate
Experimental Sample (S125)	G.  G9 13C-Gln 240min	Citrate 195/114	1600.4	Citrate
Experimental Sample (S125)	G.  G9 13C-Gln 240min	Citrate 195/115	2162.4	Citrate
Experimental Sample (S125)	G.  G9 13C-Gln 240min	Citrate 196/115	1412	Citrate
Experimental Sample (S125)	G.  G9 13C-Gln 240min	Citrate 196/116	1137	Citrate
Experimental Sample (S125)	G.  G9 13C-Gln 240min	Citrate 197/116	1350	Citrate
Experimental Sample (S125)	G.  G9 13C-Gln 240min	Glutamate 146/41	6531.2	Glutamate
Experimental Sample (S125)	G.  G9 13C-Gln 240min	Glutamate 147/41	3463.8	Glutamate
Experimental Sample (S125)	G.  G9 13C-Gln 240min	Glutamate 147/42	1801.8	Glutamate
Experimental Sample (S125)	G.  G9 13C-Gln 240min	Glutamate 148/41	10265.8	Glutamate
Experimental Sample (S125)	G.  G9 13C-Gln 240min	Glutamate 148/42	1606.2	Glutamate
Experimental Sample (S125)	G.  G9 13C-Gln 240min	Glutamate 148/43	1524.4	Glutamate
Experimental Sample (S125)	G.  G9 13C-Gln 240min	Glutamate 149/41	1827.6	Glutamate
Experimental Sample (S125)	G.  G9 13C-Gln 240min	Glutamate 149/42	1937	Glutamate
Experimental Sample (S125)	G.  G9 13C-Gln 240min	Glutamate 149/43	1288.6	Glutamate
Experimental Sample (S125)	G.  G9 13C-Gln 240min	Glutamate 150/42	1441	Glutamate
Experimental Sample (S125)	G.  G9 13C-Gln 240min	Glutamate 150/43	1491	Glutamate
Experimental Sample (S125)	G.  G9 13C-Gln 240min	Glutamate 151/43	1180	Glutamate
Experimental Sample (S126)	H.  G9 13C-Glc 240min	Citrate 191/111	254776.6	Citrate
Experimental Sample (S126)	H.  G9 13C-Glc 240min	Citrate 192/111	12217.2	Citrate
Experimental Sample (S126)	H.  G9 13C-Glc 240min	Citrate 192/112	61460	Citrate
Experimental Sample (S126)	H.  G9 13C-Glc 240min	Citrate 193/112	260443.6	Citrate
Experimental Sample (S126)	H.  G9 13C-Glc 240min	Citrate 193/113	280842.6	Citrate
Experimental Sample (S126)	H.  G9 13C-Glc 240min	Citrate 194/113	71842.2	Citrate
Experimental Sample (S126)	H.  G9 13C-Glc 240min	Citrate 194/114	73345	Citrate
Experimental Sample (S126)	H.  G9 13C-Glc 240min	Citrate 195/114	166156.6	Citrate
